# Residuals         
# Time              	p                   	Ux                  	Uy                  
1.185               	3.775457687368e-02	2.832553122719e-02	6.272469788481e-02
1.19                	3.934905534899e-02	2.883254659941e-02	6.419372916454e-02
1.195               	4.110086915798e-02	2.936832394525e-02	6.591010954012e-02
1.2                 	4.240876595301e-02	2.990765203254e-02	6.780960195884e-02
1.205               	4.350728336644e-02	3.049207526665e-02	6.976037281309e-02
1.21                	4.479141307524e-02	3.110148136768e-02	7.166698077767e-02
1.215               	4.483683966828e-02	3.178373668071e-02	7.325380869247e-02
1.22                	4.451734650066e-02	3.250118732498e-02	7.430573738116e-02
1.225               	4.326226301456e-02	3.316480239631e-02	7.483008106669e-02
1.23                	4.153053753700e-02	3.357926060885e-02	7.475351498922e-02
1.235               	3.954342769702e-02	3.379089225571e-02	7.386828289063e-02
1.24                	3.745435149906e-02	3.364502519799e-02	7.278613083948e-02
1.245               	3.566473941610e-02	3.318443817524e-02	7.149354806471e-02
1.25                	3.520700375405e-02	3.264817516209e-02	7.055470482228e-02
1.255               	3.571514785381e-02	3.229123018043e-02	6.949640868919e-02
1.26                	3.633521209545e-02	3.198459150709e-02	6.900369441025e-02
1.265               	3.666049973693e-02	3.184725945108e-02	6.870067352273e-02
1.27                	3.761886393910e-02	3.207992957554e-02	6.876212940625e-02
1.275               	3.944686075320e-02	3.272224505134e-02	6.934504935702e-02
1.28                	4.173520416118e-02	3.353466277231e-02	7.082371467262e-02
1.285               	4.627877118705e-02	3.449080355021e-02	7.319232255135e-02
1.29                	4.885739511831e-02	3.532749687957e-02	7.582918713277e-02
1.295               	4.991240728005e-02	3.616585697974e-02	7.878780431951e-02
1.3                 	5.171019677448e-02	3.674391010274e-02	8.138888824440e-02
1.305               	5.368113795910e-02	3.707132320182e-02	8.372726345861e-02
1.31                	5.476827147554e-02	3.713693245405e-02	8.520482172093e-02
1.315               	5.504101102494e-02	3.703797937951e-02	8.542971811392e-02
1.32                	5.464733358216e-02	3.681250002080e-02	8.471607646840e-02
1.325               	5.450343600620e-02	3.643049134091e-02	8.318085516375e-02
1.33                	5.289130754208e-02	3.579441542725e-02	8.132336294102e-02
1.335               	5.014925744477e-02	3.490995428245e-02	7.988132498372e-02
1.34                	4.699253155361e-02	3.376565332736e-02	7.897481966025e-02
1.345               	4.449435662406e-02	3.255749686519e-02	7.846710480353e-02
1.35                	4.270166164096e-02	3.151064702410e-02	7.842186095682e-02
1.355               	4.175241256196e-02	3.075857691741e-02	7.849748569550e-02
1.36                	4.211934959622e-02	3.031742364413e-02	7.874783774866e-02
1.365               	4.292459122681e-02	3.024597276291e-02	7.928199252398e-02
1.37                	4.374568588271e-02	3.037289480023e-02	8.020975872931e-02
1.375               	4.513995671088e-02	3.065027537939e-02	8.156736242467e-02
1.38                	4.795416045766e-02	3.104691886805e-02	8.300675048129e-02
1.385               	4.853296139276e-02	3.138012774893e-02	8.442120869177e-02
1.39                	4.853310543054e-02	3.148638929225e-02	8.595709486706e-02
1.395               	4.770958410408e-02	3.133399399044e-02	8.746722160227e-02
1.4                 	4.688301412458e-02	3.083096888616e-02	8.873909607796e-02
1.405               	4.588150145394e-02	3.011034069879e-02	9.021383261986e-02
1.41                	4.474666560960e-02	2.928146104377e-02	9.196013502615e-02
1.415               	4.379300069398e-02	2.849905847081e-02	9.392807112959e-02
1.42                	4.297449853358e-02	2.789812042866e-02	9.617166163191e-02
1.425               	4.244261925501e-02	2.754007539844e-02	9.859239853880e-02
1.43                	4.240148101063e-02	2.749676790228e-02	1.009931818594e-01
1.435               	4.269282000406e-02	2.778597270324e-02	1.027779314900e-01
1.44                	4.316216241176e-02	2.833707409222e-02	1.031567601635e-01
1.445               	4.371301468964e-02	2.907283856217e-02	1.021198697621e-01
1.45                	4.309425295367e-02	2.976367134785e-02	1.000560595223e-01
1.455               	4.196026632239e-02	3.027602085453e-02	9.702353928140e-02
1.46                	4.111436460431e-02	3.046553298135e-02	9.364006918711e-02
1.465               	4.086464696222e-02	3.027393787391e-02	9.066468826904e-02
1.47                	4.090168466840e-02	2.960445011927e-02	8.864376400553e-02
1.475               	4.078924727707e-02	2.853282661168e-02	8.745747155181e-02
1.48                	4.027963175858e-02	2.731031757142e-02	8.724651098976e-02
1.485               	4.021086875981e-02	2.616172242806e-02	8.749538010674e-02
1.49                	4.039849389023e-02	2.536960255341e-02	8.705258300147e-02
1.495               	4.086729482393e-02	2.513520553908e-02	8.585823439335e-02
1.5                 	4.159792098960e-02	2.530594542137e-02	8.436973718890e-02
1.505               	4.174216923082e-02	2.587972526937e-02	8.337145297825e-02
1.51                	4.221737990621e-02	2.672945678042e-02	8.313992161810e-02
1.515               	4.234358739681e-02	2.760417445541e-02	8.387104488524e-02
1.52                	4.298128871076e-02	2.862659141425e-02	8.554651490727e-02
1.525               	4.360011725780e-02	2.971591748095e-02	8.739636964944e-02
1.53                	4.419198180427e-02	3.074562818476e-02	8.954100088356e-02
1.535               	4.478517485887e-02	3.178402123285e-02	9.110346940261e-02
1.54                	4.506293479378e-02	3.270294262210e-02	9.204327345570e-02
1.545               	4.572137544860e-02	3.363855675517e-02	9.251428333733e-02
1.55                	4.521850744333e-02	3.442120219471e-02	9.236795237248e-02
1.555               	4.403709561878e-02	3.495372819674e-02	9.136405447607e-02
1.56                	4.289859254217e-02	3.501833918216e-02	8.946719564806e-02
1.565               	4.196256751487e-02	3.443959236621e-02	8.673653577400e-02
1.57                	4.055155729957e-02	3.333503728096e-02	8.365864076072e-02
1.575               	3.972295454342e-02	3.220791764126e-02	8.082581592117e-02
1.58                	3.955116360456e-02	3.128607158500e-02	7.855033721996e-02
1.585               	3.994697835825e-02	3.091157013287e-02	7.745891076638e-02
1.59                	4.069953996423e-02	3.118284992280e-02	7.761379671395e-02
1.595               	4.276949772324e-02	3.189804238466e-02	7.889070083419e-02
1.6                 	4.574001728497e-02	3.275580545540e-02	8.041136600491e-02
1.605               	4.646014413448e-02	3.377464172390e-02	8.185164148980e-02
1.61                	4.645503234537e-02	3.483265675607e-02	8.317934054853e-02
1.615               	4.730912340160e-02	3.606462629169e-02	8.468272498264e-02
1.62                	4.700226266334e-02	3.739189807870e-02	8.658191930724e-02
