# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.265               	((-2.505355384156e-02 -6.939061692447e-02 -4.935299728180e-22) (-2.330853807443e-01 -7.723082751744e-05 -4.784089227924e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-2.963289837896e-21 4.337166904630e-21 -5.015457071941e-01) (-2.844636480336e-18 3.632017402222e-18 1.397244050023e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.27                	((-2.446233589131e-02 -5.766124267927e-02 1.087357723763e-22) (-2.396806111314e-01 -1.799123601079e-04 3.894760687979e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((6.191317150920e-22 -9.580978057260e-22 -4.104413425953e-01) (2.307079072887e-19 -5.497593932200e-19 1.435783349195e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.275               	((-2.322538748266e-02 -4.553335980970e-02 -3.387722387879e-23) (-2.446543271880e-01 -3.186838048185e-04 6.890068124502e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.907995542822e-22 8.971609456393e-23 -3.171707023896e-01) (4.150116411456e-18 -5.718591508707e-18 1.464240628407e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.28                	((-2.152340585512e-02 -2.599305082410e-02 -9.259278931092e-22) (-2.479839126189e-01 -5.905426822500e-04 6.055095956065e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.530863628940e-21 7.035714881978e-21 -1.780385397001e-01) (3.640314980456e-18 -4.234258623873e-18 1.481558988045e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.285               	((-1.932610213186e-02 2.769777641278e-03 1.777092462656e-21) (-2.494350160718e-01 -7.995237187994e-04 -2.260032434111e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.065217060720e-20 -1.382197369565e-20 3.057810729059e-02) (-1.367648195933e-18 2.318968903921e-18 1.488210527082e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.29                	((-1.656490011531e-02 3.455790215196e-02 -2.949677402613e-22) (-2.490494241859e-01 -9.362904778521e-04 4.161354941375e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.736666474175e-21 2.130961130878e-21 2.565556961514e-01) (2.756431399764e-19 2.633948401903e-19 1.484529209507e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.295               	((-1.341078161074e-02 6.849415382433e-02 -1.916276308383e-21) (-2.468466170498e-01 -1.088638050298e-03 2.923041579923e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.146382228756e-20 1.564343261938e-20 4.958067018412e-01) (1.738133135164e-18 -2.136572731608e-18 1.469800542195e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.3                 	((-1.000941128847e-02 1.032735178309e-01 -1.067988050951e-21) (-2.428439738845e-01 -1.259257793825e-03 -6.258118104693e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-6.420828213588e-21 9.303481196557e-21 7.432723872707e-01) (-3.728139032031e-18 4.500858497867e-18 1.444107518811e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.305               	((-6.623731361310e-03 1.469382694231e-01 1.243117123141e-21) (-2.372708339275e-01 -1.406764572298e-03 -9.351649209487e-20) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((7.499173358254e-21 -9.373211451062e-21 1.053423016172e+00) (-5.576710259889e-19 1.269806735103e-18 1.409174479534e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.31                	((-3.463157476549e-03 1.917280432569e-01 2.024592450764e-21) (-2.302345402684e-01 -1.519240416200e-03 -6.423771384229e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.207311279760e-20 -1.624183775111e-20 1.372864405643e+00) (-3.844975405976e-18 5.043528255456e-18 1.365772847748e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
